Id,User,Text,Date,Request,Polarity 
"1338258905479196672","BilalTcla"," sérieusement comment on fait pour rester autant fan d’Arsenal","Mon Dec 14 00:06:01 CET 2020","Arsenal",4 
"1338258898164342787","ygflackoo","Être fan d’Arsenal ou on vous tabasse à sang ","Mon Dec 14 00:05:59 CET 2020","Arsenal",4 
"1338258618043535368","gluebeli","   Mdr alors mon ancien compte a été ban de Twitter mais tu aurais pu y trouver tout ce que je pense de Auba depuis le premier jour Jaurais vendu Auba DIRECT Faut arrêter de généraliser tous les supporters","Mon Dec 14 00:04:52 CET 2020","Arsenal",4 
"1338258599571820544","wilooffi","  Jsuis ruiné jai mis psg  tothenam  neymar buteur  arsenal Genre ils mont braqué winamax ptdr","Mon Dec 14 00:04:48 CET 2020","Arsenal",4 
"1338258532701966337","Luccini76","  On espère hn 🤞🏼","Mon Dec 14 00:04:32 CET 2020","Arsenal",2 
"1338258463663804426","Hopman_pronos","✅ Mission accomplie on rempli le 12   Dommage la prestation lamentable d’Arsenal nous prive du jackpot 👎🏻 ","Mon Dec 14 00:04:16 CET 2020","Arsenal",4 
"1338258411910213633","igiraneza_","   Nonsense","Mon Dec 14 00:04:03 CET 2020","Arsenal",2 
"1338258410597396482","ImSawney","    Je sais bien ça mais arteta est un vrai dictateur","Mon Dec 14 00:04:03 CET 2020","Arsenal",2 
"1338258357216538626","Ibrahim30921696","Cest une putaine honte  ces joueurs aucuns  dentre eux a part saka thierny  et Gabriel ne mérite de porter  ce maillot dArsenal","Mon Dec 14 00:03:50 CET 2020","Arsenal",4 
"1338258351755497473","_lams10","  Tu veux que je parle d’arsenal ou c bon","Mon Dec 14 00:03:49 CET 2020","Arsenal",4 
"1338258270788722694","mougliii__","c’est sa arsenal de mettre des 80millions sur pépé sa passe des invincibles à 15e de pl","Mon Dec 14 00:03:30 CET 2020","Arsenal",4 
"1338258203142987782","Jerem973","Arsenal pire équipe","Mon Dec 14 00:03:13 CET 2020","Arsenal",2 
"1338258172499415044","Hasouloulouu","Je comprend pourquoi  ne regard plus un seul match d’Arsenal ","Mon Dec 14 00:03:06 CET 2020","Arsenal",4 
"1338258044665409541","LaCarte225","Voir ARSENAL dégringoler comme celà quelle régale 😍😍😍","Mon Dec 14 00:02:36 CET 2020","Arsenal",4 
"1338258033286246401","Guss_Scofield"," Arsenal sera champion de premier League vous laurez vu ici en premier","Mon Dec 14 00:02:33 CET 2020","Arsenal",4 
