Id,User,Text,Date,Request,Polarity 
"1338145191547564041","nma_de_bilal","Une icône ","Sun Dec 13 16:34:09 CET 2020","nma bilal",2 
"1338083364524462085","nma_de_bilal"," merci  ","Sun Dec 13 12:28:29 CET 2020","nma bilal",4 
"1338078732771332098","AmeliHerlens","Bilal hassani c’est    The voice Kids  L’Eurovision  2Albums  1 réédition  1 Disque d’or   1 Out  1 NMA   1 Olympia Awards   1 Collection de Vêtements   1 Livre   1 Documentaire   1 Tournée   1Collab avec    et surtout BEAUCOUP BCP de Talent  d’amour❤️","Sun Dec 13 12:10:04 CET 2020","nma bilal",4 
"1337907085951049736","daivedidji","Parcours d’Amir   The voice2014  NMA2016 Eurovision2016 Parcours de Bilal Hassani   The Voice Kid  2016  NMA  2019   Eurovision  2019  Parcours    The Voice  2018  NMA  2019   Eurovision  En 2021  ","Sun Dec 13 00:48:01 CET 2020","nma bilal",4 
"1337883136361893893","valtemp96","Cest quoi cette mode Maëva Coucke avait le même haut que Bilal au nma la semaine dernière ","Sat Dec 12 23:12:51 CET 2020","nma bilal",4 
"1337880213867421698","Bebou_Cats","Bilal il a la même robe quune des miss avait au nma ","Sat Dec 12 23:01:14 CET 2020","nma bilal",4 
"1337879612165066752","manon_o3","Bilal il a le même haut que Maeva Coucke aux NMA  j’ai capter direct 🤣 ","Sat Dec 12 22:58:50 CET 2020","nma bilal",4 
"1337712453841539073","AmeliHerlens","Bilal hassani c’est    The voice Kids  L’Eurovision  2Albums  1 réédition  1 Disque d’or   1 Out  1 NMA   1 Olympia Awards   1 Collection de Vêtements   1 Livre   1 Documentaire   1 Tournée   1Collab avec    et surtout BEAUCOUP BCP de Talent  d’amour❤️","Sat Dec 12 11:54:37 CET 2020","nma bilal",4 
"1336803570956591104","avdesmanguiers"," c ce que je te dis il est pas de ce monde mais il a « éduqué » ses fans Bilal Hassani était influenceur ps de ce monde de base ni ses fans il a remporté un nma Valentina qui remporte l’Eurovision junior avec une communauté de 10 ans d’âge moyen ça fait bcp de cas à part😉","Wed Dec 09 23:43:02 CET 2020","nma bilal",4 
"1336549923488206848","jesuisonia"," t’es le grand et moi jsuis boo ","Wed Dec 09 06:55:08 CET 2020","nma bilal",2 
"1336200525390475270","nma_de_bilal"," tu veux pas mettre  elle est daccord ❤️","Tue Dec 08 07:46:45 CET 2020","nma bilal",2 
"1336073069555748866","ticdeticettac","Bonjour Bilal 17 ans qui fait des vidéos sur YouTube et qui chante dans des discothèques  Dans 3 ans tu feras lEurovision un album une tournée tauras un NMA plusieurs autres trophées et des personnes qui taiment même dans dautres pays allez hop ","Mon Dec 07 23:20:17 CET 2020","nma bilal",4 
"1335490408726605826","Ekinorev51","  NMALe prix du public C est LA plus belle consécration pour tout artiste Ravie qu un aussi bel artiste que Bilal bénéficie de cette reconnaissance qu il mérite amplement BRAVO BILALsure qu on ira loin tous les 2Toi et nous 😘😘💜 ","Sun Dec 06 08:45:00 CET 2020","nma bilal",4 
"1335413141807771649","joan_chl","dites vous lannée dernière la révélation francophone de lannée aux  cétait Bilal Hassani là cette année cest Squeezie 💧👄💧","Sun Dec 06 03:37:58 CET 2020","nma bilal",4 
"1335401664539467776","Paulinexbilal","Ça fait vraiment trop plaisir de voir bilal dans la saga des NMA","Sun Dec 06 02:52:22 CET 2020","nma bilal",4 
"1335396146781556736","chaxhsn","Purée dans la saga du show des nma on a revu la perf et le moment où Bilal il gagne et jsuis actuellement en train de pleurer voilà bye je vous souhaite une bonne nuit 🥲","Sun Dec 06 02:30:26 CET 2020","nma bilal",4 
"1335391695161143296","Paulinexbilal","Le fameux moment où Bilal apprend quil a gagné le nma cétait un moment téllement magique 🥺💜 jai encore les larmes aux yeux","Sun Dec 06 02:12:45 CET 2020","nma bilal",4 
"1335391576110092289","pzrfectlou","en larmes parce que bilal qui gagne au nma","Sun Dec 06 02:12:16 CET 2020","nma bilal",4 
"1335388382223065096","Bilalhassaniki1","Bonne nuit Bilal sache quon est super fière de toi tas fais 2 perfs incroyables se soir du grand Bilal Hassani Hate de voire la tournée de CS tu suis le chemin de Rihanna quil ont montraient dans la saga des nma On aime forttttt👑❤ ","Sun Dec 06 01:59:35 CET 2020","nma bilal",4 
"1335387292089937920","ValiTheBilalfan","elle se trouve où la perf des nma de Bilal ","Sun Dec 06 01:55:15 CET 2020","nma bilal",4 
"1338145191547564041","nma_de_bilal","Une icône ","Sun Dec 13 16:34:09 CET 2020","nma bilal",2 
"1338083364524462085","nma_de_bilal"," merci  ","Sun Dec 13 12:28:29 CET 2020","nma bilal",4 
"1338078732771332098","AmeliHerlens","Bilal hassani c’est    The voice Kids  L’Eurovision  2Albums  1 réédition  1 Disque d’or   1 Out  1 NMA   1 Olympia Awards   1 Collection de Vêtements   1 Livre   1 Documentaire   1 Tournée   1Collab avec    et surtout BEAUCOUP BCP de Talent  d’amour❤️","Sun Dec 13 12:10:04 CET 2020","nma bilal",4 
"1337907085951049736","daivedidji","Parcours d’Amir   The voice2014  NMA2016 Eurovision2016 Parcours de Bilal Hassani   The Voice Kid  2016  NMA  2019   Eurovision  2019  Parcours    The Voice  2018  NMA  2019   Eurovision  En 2021  ","Sun Dec 13 00:48:01 CET 2020","nma bilal",4 
"1337883136361893893","valtemp96","Cest quoi cette mode Maëva Coucke avait le même haut que Bilal au nma la semaine dernière ","Sat Dec 12 23:12:51 CET 2020","nma bilal",4 
"1337880213867421698","Bebou_Cats","Bilal il a la même robe quune des miss avait au nma ","Sat Dec 12 23:01:14 CET 2020","nma bilal",4 
"1337879612165066752","manon_o3","Bilal il a le même haut que Maeva Coucke aux NMA  j’ai capter direct 🤣 ","Sat Dec 12 22:58:50 CET 2020","nma bilal",4 
"1337712453841539073","AmeliHerlens","Bilal hassani c’est    The voice Kids  L’Eurovision  2Albums  1 réédition  1 Disque d’or   1 Out  1 NMA   1 Olympia Awards   1 Collection de Vêtements   1 Livre   1 Documentaire   1 Tournée   1Collab avec    et surtout BEAUCOUP BCP de Talent  d’amour❤️","Sat Dec 12 11:54:37 CET 2020","nma bilal",4 
"1336803570956591104","avdesmanguiers"," c ce que je te dis il est pas de ce monde mais il a « éduqué » ses fans Bilal Hassani était influenceur ps de ce monde de base ni ses fans il a remporté un nma Valentina qui remporte l’Eurovision junior avec une communauté de 10 ans d’âge moyen ça fait bcp de cas à part😉","Wed Dec 09 23:43:02 CET 2020","nma bilal",4 
"1336549923488206848","jesuisonia"," t’es le grand et moi jsuis boo ","Wed Dec 09 06:55:08 CET 2020","nma bilal",2 
"1336200525390475270","nma_de_bilal"," tu veux pas mettre  elle est daccord ❤️","Tue Dec 08 07:46:45 CET 2020","nma bilal",2 
"1336073069555748866","ticdeticettac","Bonjour Bilal 17 ans qui fait des vidéos sur YouTube et qui chante dans des discothèques  Dans 3 ans tu feras lEurovision un album une tournée tauras un NMA plusieurs autres trophées et des personnes qui taiment même dans dautres pays allez hop ","Mon Dec 07 23:20:17 CET 2020","nma bilal",4 
"1335490408726605826","Ekinorev51","  NMALe prix du public C est LA plus belle consécration pour tout artiste Ravie qu un aussi bel artiste que Bilal bénéficie de cette reconnaissance qu il mérite amplement BRAVO BILALsure qu on ira loin tous les 2Toi et nous 😘😘💜 ","Sun Dec 06 08:45:00 CET 2020","nma bilal",4 
"1335413141807771649","joan_chl","dites vous lannée dernière la révélation francophone de lannée aux  cétait Bilal Hassani là cette année cest Squeezie 💧👄💧","Sun Dec 06 03:37:58 CET 2020","nma bilal",4 
"1335401664539467776","Paulinexbilal","Ça fait vraiment trop plaisir de voir bilal dans la saga des NMA","Sun Dec 06 02:52:22 CET 2020","nma bilal",4 
"1335396146781556736","chaxhsn","Purée dans la saga du show des nma on a revu la perf et le moment où Bilal il gagne et jsuis actuellement en train de pleurer voilà bye je vous souhaite une bonne nuit 🥲","Sun Dec 06 02:30:26 CET 2020","nma bilal",4 
"1335391695161143296","Paulinexbilal","Le fameux moment où Bilal apprend quil a gagné le nma cétait un moment téllement magique 🥺💜 jai encore les larmes aux yeux","Sun Dec 06 02:12:45 CET 2020","nma bilal",4 
